Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		3.9792		3.9001		0.0000		0.3599		0.00050000
2		3.5550		3.3912		0.0000		0.4236		0.00049700
3		3.4146		3.3582		0.0000		0.4412		0.00049400
4		3.3489		3.5177		0.0000		0.4532		0.00049099
5		3.2692		3.6933		0.0000		0.4839		0.00048798
6		3.2231		3.5844		0.0000		0.4533		0.00048497
7		3.1911		4.1798		0.0000		0.4076		0.00048196
8		3.1515		3.2479		0.0000		0.5060		0.00047895
9		3.1084		3.5135		0.0000		0.5562		0.00047593
10		3.1014		3.5033		0.0000		0.5431		0.00047292
11		3.0681		3.7079		0.0000		0.5293		0.00046990
12		3.0532		3.2032		0.0000		0.5600		0.00046688
13		3.0484		3.3251		0.0000		0.5934		0.00046385
14		3.0155		3.8794		0.0000		0.4733		0.00046083
15		3.0064		3.2069		0.0000		0.5381		0.00045780
16		2.9752		3.5603		0.0000		0.5861		0.00045477
17		2.9469		3.5183		0.0000		0.5954		0.00045173
18		2.9506		3.4961		0.0000		0.5658		0.00044870
19		2.9242		3.4800		0.0000		0.5621		0.00044566
20		2.9282		3.8263		0.0000		0.5277		0.00044262
21		2.9019		3.6284		0.0000		0.5649		0.00043958
22		2.8859		3.4999		0.0000		0.5970		0.00043653
23		2.8831		3.8472		0.0000		0.5607		0.00043349
24		2.8798		3.8634		0.0000		0.5826		0.00043044
25		2.8788		3.8610		0.0000		0.5682		0.00042739
26		2.8386		3.7606		0.0000		0.5850		0.00042433
27		2.8220		3.8189		0.0000		0.6167		0.00042128
28		2.8052		3.5966		0.0000		0.6143		0.00041822
29		2.7949		3.8360		0.0000		0.5768		0.00041516
30		2.8160		3.7362		0.0000		0.6112		0.00041209
31		2.7986		3.7714		0.0000		0.5650		0.00040903
32		2.7979		3.8223		0.0000		0.6013		0.00040596
33		2.7663		4.0719		0.0000		0.5800		0.00040289
34		2.7599		4.1707		0.0000		0.5984		0.00039981
35		2.7504		3.9280		0.0000		0.5985		0.00039673
36		2.7713		3.8951		0.0000		0.5953		0.00039366
37		2.7262		4.0748		0.0000		0.6329		0.00039057
38		2.7137		3.9763		0.0000		0.6288		0.00038749
39		2.7054		4.0973		0.0000		0.6214		0.00038440
40		2.7175		4.2663		0.0000		0.5983		0.00038131
41		2.6948		3.9869		0.0000		0.6177		0.00037822
42		2.6946		4.1193		0.0000		0.6079		0.00037512
43		2.6772		4.1540		0.0000		0.6095		0.00037202
44		2.6852		4.1108		0.0000		0.6114		0.00036892
45		2.7099		4.7217		0.0000		0.5490		0.00036582
46		2.6982		4.1744		0.0000		0.6263		0.00036271
47		2.6520		4.1139		0.0000		0.6226		0.00035960
48		2.6393		4.5040		0.0000		0.6379		0.00035649
49		2.6345		4.5977		0.0000		0.5833		0.00035337
50		2.6514		4.3122		0.0000		0.6229		0.00035025
51		2.6691		4.2598		0.0000		0.6107		0.00034713
52		2.6328		4.2943		0.0000		0.6095		0.00034400
53		2.6049		4.5418		0.0000		0.6112		0.00034087
54		2.6121		4.2598		0.0000		0.6026		0.00033774
55		2.6286		4.3250		0.0000		0.6064		0.00033460
56		2.5921		4.5597		0.0000		0.6224		0.00033147
57		2.5757		4.5647		0.0000		0.6242		0.00032832
58		2.5736		4.5556		0.0000		0.6137		0.00032518
59		2.6799		3.9880		0.0000		0.5662		0.00032203
60		2.6341		4.2541		0.0000		0.6363		0.00031888
61		2.5860		4.4965		0.0000		0.6342		0.00031572
62		2.5570		4.7645		0.0000		0.6327		0.00031256
63		2.5560		4.7079		0.0000		0.6201		0.00030940
64		2.5483		4.6514		0.0000		0.6274		0.00030624
65		2.5457		4.7897		0.0000		0.6016		0.00030307
66		2.5868		4.4803		0.0000		0.5811		0.00029989
67		2.5540		4.6763		0.0000		0.6291		0.00029671
68		2.5288		4.7423		0.0000		0.6411		0.00029353
69		2.5221		4.9406		0.0000		0.6307		0.00029035
70		2.5360		4.6918		0.0000		0.6291		0.00028716
71		2.5478		4.6280		0.0000		0.6092		0.00028397
72		2.5647		4.7926		0.0000		0.6090		0.00028077
73		2.5213		4.7577		0.0000		0.6345		0.00027757
74		2.5093		4.2881		0.0000		0.6069		0.00027437
75		2.5288		4.7355		0.0000		0.6280		0.00027116
76		2.4998		4.6320		0.0000		0.6282		0.00026794
77		2.4980		4.7502		0.0000		0.6302		0.00026473
78		2.5601		4.8274		0.0000		0.5543		0.00026150
79		2.5232		4.7493		0.0000		0.6235		0.00025828
80		2.4924		4.9141		0.0000		0.6360		0.00025505
81		2.4931		4.8881		0.0000		0.6248		0.00025181
82		2.4796		4.7319		0.0000		0.6318		0.00024857
83		2.4699		4.9581		0.0000		0.6297		0.00024533
84		2.4683		5.0742		0.0000		0.6364		0.00024208
85		2.4727		5.2385		0.0000		0.6274		0.00023882
86		2.4617		5.0890		0.0000		0.6461		0.00023556
87		2.4572		5.0742		0.0000		0.6446		0.00023230
88		2.4538		5.0830		0.0000		0.6310		0.00022903
89		2.4542		5.0321		0.0000		0.6410		0.00022576
